Frame,Visibility,X,Y,Radius
298,1,202,641,11
299,1,412,506,12
300,1,476,922,12
301,1,476,922,12
302,1,476,922,12
303,1,472,922,12
304,1,960,596,12
305,1,420,498,13
306,1,367,926,13
307,1,142,652,13
308,1,142,648,12
309,1,431,922,11
310,1,918,641,11
311,1,915,645,13
312,1,1038,603,11
313,1,1035,600,10
314,1,1181,843,11
315,1,138,648,9
316,1,127,656,9
317,1,127,652,8
318,1,127,648,7
