Frame,Recommended_Action,Best_EPV_Score,EPV_left_receive,EPV_left_set,EPV_left_attack,EPV_right_receive,EPV_right_set,EPV_right_attack
74,left_receive,0.4521,0.4521,0.3612,0.2929,0.0255,0.1129,0.2729
75,left_receive,0.5172,0.5172,0.3361,0.2588,0.0135,0.1162,0.245
76,left_receive,0.5037,0.5037,0.3948,0.2958,0.0158,0.1283,0.2792
77,left_receive,0.5618,0.5618,0.4126,0.3374,0.0408,0.115,0.3201
78,left_receive,0.626,0.626,0.5109,0.4713,0.2292,0.282,0.4349
79,left_receive,0.4983,0.4983,0.3277,0.271,-0.0234,0.0357,0.2341
80,left_receive,0.5682,0.5682,0.386,0.2772,-0.0221,0.042,0.2504
81,left_receive,0.588,0.588,0.4299,0.3414,0.0697,0.1449,0.3412
82,left_receive,0.5623,0.5623,0.3811,0.3006,0.0006,0.0855,0.2551
83,left_receive,0.596,0.596,0.4673,0.3662,0.0965,0.1724,0.3698
84,left_receive,0.4926,0.4926,0.3921,0.2822,0.0092,0.1286,0.2709
85,left_receive,0.5119,0.5119,0.3563,0.2532,-0.0065,0.0731,0.2413
86,left_receive,0.4592,0.4592,0.2764,0.2508,0.0333,0.0949,0.2419
87,left_receive,0.5733,0.5733,0.4059,0.3998,0.1342,0.2261,0.3625
88,left_receive,0.5516,0.5516,0.3859,0.3743,0.1373,0.2072,0.3439
89,left_receive,0.6133,0.6133,0.4477,0.4439,0.195,0.2829,0.4058
90,left_receive,0.4495,0.4495,0.2916,0.2788,0.0489,0.1128,0.235
91,left_receive,0.577,0.577,0.4305,0.334,0.0685,0.1641,0.3345
92,left_receive,0.6173,0.6173,0.4863,0.3913,0.1044,0.1566,0.3796
93,left_receive,0.6398,0.6398,0.5184,0.4564,0.1987,0.2434,0.4189
94,left_receive,0.567,0.567,0.4062,0.3269,0.0558,0.1488,0.2957
95,left_receive,0.4772,0.4772,0.3425,0.2441,0.0073,0.0874,0.2339
96,left_receive,0.5661,0.5661,0.3974,0.3175,0.0492,0.1404,0.2796
97,left_receive,0.6036,0.6036,0.4907,0.4373,0.1734,0.2434,0.3994
98,left_receive,0.5014,0.5014,0.3377,0.2447,-0.0322,0.0452,0.2169
99,left_receive,0.3582,0.3582,0.1816,0.1298,-0.0562,-0.0258,0.1172
100,left_receive,0.3712,0.3712,0.1833,0.1404,-0.0522,-0.0129,0.1233
101,left_receive,0.5372,0.5372,0.4007,0.3476,0.1304,0.1784,0.3333
102,left_receive,0.2866,0.2866,0.1535,0.0963,-0.0649,-0.0192,0.0699
103,left_receive,0.6537,0.6537,0.5682,0.5023,0.2132,0.2901,0.4781
104,left_receive,0.3705,0.3705,0.291,0.2106,0.0259,0.0675,0.1969
105,left_receive,0.5519,0.5519,0.4662,0.4387,0.2431,0.2987,0.3995
106,left_receive,0.4659,0.4659,0.3474,0.2434,0.0193,0.119,0.1881
107,left_receive,0.6097,0.6097,0.5094,0.4681,0.2248,0.2664,0.4235
108,left_receive,0.6138,0.6138,0.5256,0.4692,0.285,0.3403,0.4419
109,left_receive,0.6684,0.6684,0.5554,0.4623,0.2109,0.3403,0.4883
110,left_receive,0.3848,0.3848,0.2789,0.2204,0.0229,0.0991,0.1807
111,left_receive,0.411,0.411,0.2496,0.1951,-0.0381,0.0406,0.1494
112,left_receive,0.474,0.474,0.3139,0.243,0.0232,0.0965,0.2378
113,left_receive,0.4784,0.4784,0.3527,0.2746,-0.0072,0.0918,0.249
114,left_receive,0.4185,0.4185,0.3201,0.2278,-0.0191,0.0656,0.2119
115,left_receive,0.5897,0.5897,0.4659,0.3865,0.0767,0.2105,0.357
116,left_receive,0.6379,0.6379,0.5208,0.4537,0.1939,0.2892,0.4037
117,left_receive,0.4873,0.4873,0.3417,0.2786,-0.0141,0.0778,0.2425
118,left_receive,0.4832,0.4832,0.389,0.3114,-0.0144,0.0936,0.2715
119,left_receive,0.386,0.386,0.2704,0.2031,-0.0444,0.0548,0.1723
120,left_receive,0.3917,0.3917,0.2731,0.2224,-0.0265,0.078,0.1963
121,left_receive,0.5033,0.5033,0.3679,0.2817,0.0276,0.107,0.2438
